reporting_jurisdiction	CountyFIPS	other_jurisdiction	sewershed_population_served	sewage_travel_time	sample_location	sample_location_specify	wwtp_name	wwtp_jurisdiction	capacity_mgd	industrial_input	stormwater_input	influent_equilibrated	sample_type	composite_freq	sample_matrix	collection_storage_time	collection_storage_temp	solids_separation	concentration_method	extraction_method	pre_conc_storage_time	pre_conc_storage_temp	pre_ext_storage_time	pre_ext_storage_temp	tot_conc_vol	ext_blank	rec_eff_target_name	rec_eff_spike_matrix	rec_eff_spike_conc	pasteurized	pcr_target	pcr_gene_target	pcr_type	hum_frac_target_mic	hum_frac_target_chem	other_norm_name	quant_stan_type	num_no_target_control	sample_collect_date	sample_collect_time	time_zone	flow_rate	ph	conductivity	tss	collection_water_temp	equiv_sewage_amt	sample_id	lab_id	test_result_date	pcr_target_units	pcr_target_avg_conc	pcr_target_std_error	pcr_target_cl_95_lo	pcr_target_cl_95_up	pcr_target_below_lod	lod_sewage	ntc_amplify	rec_eff_percent	inhibition_detect	inhibition_adjust	hum_frac_mic_conc	hum_frac_mic_unit	hum_frac_chem_conc	hum_frac_chem_unit	other_norm_conc	other_norm_unit	major_lab_method	major_lab_method_desc	sample_first_reported	key_sewershed	COUNTY_POPESTIMATE2020	vax_date	cases_date	hosp_date	deaths_date	actuals.vaccinationsInitiated	actuals.vaccinationsCompleted	actuals.vaccinationsAdditionalDose	metrics.vaccinationsInitiatedRatio	metrics.vaccinationsCompletedRatio	metrics.vaccinationsAdditionalDoseRatio	actuals.newCases	metrics.caseDensity100k	metrics.infectionRate	metrics.testPositivityRatio	actuals.hospitalBeds.capacity	actuals.icuBeds.capacity	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	metrics.icuCapacityRatio	metrics.bedsWithCovidPatientsRatio	metrics.bedsWithCovidPatientsRatioRolling10	metrics.weeklyCovidAdmissionsPer100k	metrics.weeklyCovidAdmissionsPer100kRolling10	metrics.icuCapacityRatioRolling10	actuals.newDeaths	metrics.newDeathsRolling7
ca	06085		110338		XXXX	XXXX	XXXX	ca	11.0				24-hr flow-weighted composite		raw wastewater			gravity settling	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-05-11	07:00	utc-07:00							XXXX	XXXX	2021-05-12	copies/g dry sludge	6229.184136				no	500.0	no	85.1	no	no	2890000000.0	copies/g dry sludge							2021-06-10 21:18:22	ca_352	1907105.0	2021-05-01	2021-05-18	2021-05-25	2021-06-01	1192596	773091	0.0	0.619	0.401	0.0	18	2.2	0.8	0.006							0.02		1.600000000000041	0.7199999999999984	0	2.25
wi	55101		139000		XXXX	XXXX	XXXX	wi	36.0				24-hr flow-weighted composite	0.075	raw wastewater			filtration	membrane filtration with addition of mgcl2	promega automated tna kit							bcov vaccine	raw sample	4.522		sars-cov-2	n1	ddpcr	pepper mild mottle virus		hf183	rna	2	2022-01-30	00:00	utc-06:00	11.61		1099.0			0.859	XXXX	XXXX	2022-02-03	copies/l wastewater	1553.92		51.2	8652.8	yes	4659.2	no	0.0	no	no	5072896.0	copies/l wastewater					2	new extraction method, switch to kingfisher		wi_331	195802.0	2022-01-20	2022-02-06	2022-02-13	2022-02-20	126492	114255	54402	0.644	0.582	0.277	0	52.0	0.63	0.138							0.07500000000000472		53.15000000000001	0.6399999999999864	0	1.75
oh	39119		47500	12.0	XXXX	XXXX	XXXX	oh	11.0	17.2413787433565	yes		24-hr flow-weighted composite		raw wastewater		4.0	centrifugation	innovaprep ultrafiltration	qiagen allprep powerviral dna/rna	0.0	4.0	12.0	-80.0	100.0	yes	bcov vaccine	raw sample	6.0	no	sars-cov-2	n2	ddpcr	crassphage			dna	more than 3	2021-06-22	05:30	utc-05:00	3.59999990463257	7.69999980926514		88.0			XXXX	XXXX	2021-06-25	copies/l wastewater	138.125	71.625			no	133.0	no	-1.0	not tested	no		copies/l wastewater					1	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-06-29 20:12:11	oh_456	86020.0	2021-06-12	2021-06-29	2021-07-06	2021-07-13	27179	27046	0.0	0.315	0.314	0.0	1	1.5	1.23	0.009							0.015000000000003493			0.5749999999999912	0	0.0
ca	06081		750000	0.5	XXXX	XXXX	XXXX	ca	85.4	1.6	yes	yes	24-hr time-weighted composite	1.0	raw wastewater				none	4s method (https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n)	24.0	4.0	0.0		40.0	yes		raw sample		yes	sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-05-01	00:00	utc-07:00	45.0	7.42	3610.0	202.0		1.110375	XXXX	XXXX	2021-05-04	log10 copies/l wastewater	4.68073687	2.196901644			no	3.60206	no	-1.0	yes	yes	8.396373291	log10 copies/l wastewater							2021-08-26 20:06:28	ca_363	758308.0	2021-04-21	2021-05-08	2021-05-15	2021-05-22	432338	297659	0.0	0.564	0.388	0.0	42	4.9	0.94	0.006							0.01		1.3000000000000838	0.529999999999997	0	0.375
ca	06085		153000		XXXX	XXXX	XXXX	ca	29.5				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-08-02	07:00	utc-07:00							XXXX	XXXX	2021-08-03	copies/g dry sludge	37258.79436				no	500.0	no	96.7	no	no	1830000000.0	copies/g dry sludge							2021-08-07 00:19:16	ca_354	1907105.0	2021-07-23	2021-08-09	2021-08-16	2021-08-23	1449294	1367808	0.0	0.752	0.709	0.0	357	15.3	1.1	0.037							0.055		8.95000000000004	0.7599999999999985	0	1.25
wi	55027		17320		XXXX	XXXX	XXXX	wi	3.6				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.347		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-11-30	07:17	utc-06:00	1.62	7.7				0.625	XXXX	XXXX	2021-12-03	copies/l wastewater	839893.0	69411.0			no	100000.0	no	6.423	no	no	8392571.0	copies/l wastewater							2021-12-08 16:53:13	wi_172	87336.0	2021-11-20	2021-12-07	2021-12-14	2021-12-21	44661	41698		0.508	0.475		0	75.7	1.04	0.165							0.21500000000000474		21.39999999999999	0.9449999999999867	0	3.75
va	51165		81000		XXXX	XXXX	XXXX	va	23.0				24-hr flow-weighted composite		post grit removal			centrifugation	innovaprep ultrafiltration	zymo quick-rna viral 96 kit #r1041	0.0	4.0	0.0	4.0	40.0	yes	murine coronavirus	raw sample	3.176091259	no	sars-cov-2	ddcov_e	ddpcr	[empty]			rna	2	2022-01-31	09:00		11.95						XXXX	XXXX	2022-02-04	copies/l wastewater	15203.82				no	5400.0	no	0.0299	not tested										2022-02-07 06:23:53	va_286	82346.0	2022-01-21	2022-02-07	2022-02-14	2022-02-21							103	63.1	0.72	0.275							0.09000000000000435		17.499999999999883		0	1.25
mo	29047		76759		XXXX	XXXX	XXXX	mo	20.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.8633701718		sars-cov-2	n1	qpcr				rna	3	2021-06-28			11.1						XXXX	XXXX	2021-06-29	copies/l wastewater	34738.375	13046.57706	-6775.83	76252.58	no	1750.0	no	15.905872113	no	no									2021-07-08 20:47:03	mo_194	253463.0	2021-06-18	2021-07-05	2021-07-12	2021-07-19	101447	90632	0.0	0.406	0.363	0.0	12	5.0	1.11	0.08							0.05500000000000211		12.449999999999857	0.8899999999999926	0	0.0
wi	55061		189000		XXXX	XXXX	XXXX	wi	49.2				24-hr flow-weighted composite	0.085	raw wastewater			filtration	membrane filtration with addition of mgcl2	promega automated tna kit							bcov vaccine	raw sample	4.522		sars-cov-2	n2	ddpcr	pepper mild mottle virus		hf183	rna	2	2021-11-14	06:00	utc-06:00	20.69	7.6	1740.0	248.0		0.859	XXXX	XXXX	2021-11-18	copies/l wastewater	208742.4		174310.4	248038.4	no	4812.8	no	3.974	no	no	46630912.0	copies/l wastewater					2	new extraction method, switch to kingfisher	2021-11-19 18:58:34	wi_164	20386.0	2021-11-04	2021-11-21	2021-11-28	2021-12-05	10240	9706		0.501	0.475		0	55.2	1.03	0.127							0.14500000000000468		24.349999999999984		0	0.125
ca	06067		1480000	15.0	XXXX	XXXX	XXXX	ca	181.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-12-19	07:00	utc-07:00							XXXX	XXXX	2021-12-20	copies/g dry sludge	116757.866				no	500.0	no	87.0	no	no	1190000000.0	copies/g dry sludge							2021-12-27 19:02:14	ca_383	1559146.0	2021-12-09	2021-12-26	2022-01-02	2022-01-09	1054774	963660	289134	0.68	0.621	0.186	0	22.6	1.5	0.075							0.11000000000000001		17.40000000000003	0.9249999999999985	0	3.0
ca	06037		4000000	9.0	XXXX	XXXX	XXXX	ca	450.0	15.0	no	no	24-hr flow-weighted composite	0.0484	raw wastewater				membrane filtration with acidification and mgcl2	nuclisens manual magnetic bead extraction kit	12.0	4.0	0.0		20.0	yes	bcov vaccine	raw sample	5.19		sars-cov-2	n2	ddpcr	pepper mild mottle virus			dna	more than 3	2021-05-11	01:00	utc-07:00	248.0	7.78	1582.0	340.0	24.4		XXXX	XXXX	2021-05-12	copies/l wastewater	19978.7426696		11213.052708	32434.2122104	no	1496.734313	no	27.494358118	yes	no	402799614.074	copies/l wastewater							2021-05-17 16:29:02	ca_215	9943046.0	2021-05-01	2021-05-18	2021-05-25	2021-06-01	5011388	3633984	0.0	0.499	0.362	0.0	120	2.4	0.89	0.005							0.02000000000000011		2.6500000000000177	0.6749999999999987	4	8.125
mo	29167		10500		XXXX	XXXX	XXXX	mo	2.55				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.8585736629		sars-cov-2	n1	qpcr				rna	3	2021-11-08			1.173						XXXX	XXXX	2021-11-09	copies/l wastewater	12824.904346	1877.7310415	6849.96	18799.84	no	1750.0	no	15.731168301	no	no									2021-12-02 15:19:28	mo_63	32490.0	2021-10-29	2021-11-15	2021-11-22	2021-11-29	12890	11497		0.401	0.358		1	14.7	0.98	0.072							0.045000000000001705		8.999999999999957	0.6199999999999921	0	0.0
wi	55063		85000		XXXX	XXXX	XXXX	wi	20.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.92		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2020-10-01	07:36	utc-05:00	9.73	7.24	1791.0			2.0	XXXX	XXXX	2020-10-05	copies/l wastewater	9092.0	1673.0			yes	20000.0	no	0.08	no	no	9851892.0	copies/l wastewater							2021-02-18 18:48:01	wi_209	118502.0	2020-09-21	2020-10-08	2020-10-15	2020-10-22	0.0	0.0	0.0	0.0	0.0	0.0	43	28.6	0.85	0.065	502	56	29	4	0.65	0.06	0.06000000000000311	10.1	10.099999999999966	0.6333333333333245	2	1.0
wa	53011		120000	4.0	XXXX	XXXX	XXXX	wa	16.1	20.0	no	no	24-hr flow-weighted composite	23.0	raw wastewater	4.0	2.0	none	membrane filtration with addition of mgcl2	luminultra wastewater extraction kit	3.78	4.0	0.77	-20.0	50.0	yes	oc43	raw sample	6.0	no	delta	wt214	qpcr	pepper mild mottle virus			rna	2	2022-01-25	23:55	utc-08:00	10.9	7.57	22.5		3.5	2.0	XXXX	XXXX	2022-01-28	copies/l wastewater	0.0	0.0				1498.6	no	7.3	no	no	16168796.89	copies/l wastewater								wa_499	496865.0	2022-01-15	2022-02-01	2022-02-08	2022-02-15	337781	302141	128242	0.692	0.619	0.263	0	188.7	0.77								0.1550000000000044		16.949999999999935	0.9599999999999874	0	2.75
wi	55043		11000		XXXX	XXXX	XXXX	wi	3.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.832		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-10-18	06:00	utc-05:00	0.946	7.7			19.56	0.625	XXXX	XXXX	2021-10-26	copies/l wastewater	83861.0	20811.0			no	64000.0	no	1.829	no	no	22540522.0	copies/l wastewater							2021-10-29 15:41:48	wi_318	51021.0	2021-10-08	2021-10-25	2021-11-01	2021-11-08	26976	25408		0.524	0.494		44	39.7	0.84	0.085							0.0600000000000047		7.349999999999987		0	0.0
mo	29037		490000		XXXX	XXXX	XXXX	mo	105.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	6.0211892991		sars-cov-2	n2	qpcr				rna	3	2020-11-02			47.86						XXXX	XXXX	2020-11-03	copies/l wastewater	859517.75	109820.43709	510069.12	1208966.38	no	1750.0	no	22.875816993	no	no									2021-07-08 20:47:03	mo_195	106806.0	2020-10-23	2020-11-09	2020-11-16	2020-11-23	0.0	0.0	0.0	0.0	0.0	0.0	71	56.2	1.17	0.181							0.1625000000000011		45.94999999999985	0.8349999999999963	3	0.375
mo	29077		22818		XXXX	XXXX	XXXX	mo	6.8				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.2837242901		sars-cov-2	n2	qpcr				rna	3	2021-10-11			4.79						XXXX	XXXX	2021-10-12	copies/l wastewater	9436.1240149	2415.1652946	1751.07	17121.18	no	1750.0	no	4.1870833333	no	no									2021-11-04 17:03:17	mo_380	294997.0	2021-10-01	2021-10-18	2021-10-25	2021-11-01	141909	127198		0.484	0.434		96	13.4	0.95								0.05000000000000199		6.049999999999873	0.8199999999999923	0	1.125
wi	55009		189000		XXXX	XXXX	XXXX	wi	49.2				24-hr flow-weighted composite	0.085	raw wastewater			filtration	membrane filtration with addition of mgcl2	qiagen rneasy powermicrobiome kit							bcov vaccine	raw sample	4.314		sars-cov-2	n2	ddpcr	pepper mild mottle virus		hf183	rna	2	2021-05-05	06:00	utc-05:00	28.13	7.4	1944.0	190.0		1.571	XXXX	XXXX	2021-05-10	copies/l wastewater	3935.49866666667		812.309	11512.384	no	3935.499	no	11.894	no	no	40631432.7466667	copies/l wastewater				copies/l wastewater	1		2021-05-11 14:07:44	wi_164	264610.0	2021-04-25	2021-05-12	2021-05-19	2021-05-26	112784	90678	0.0	0.426	0.343	0.0	26	10.2	0.82	0.035							0.03000000000000469		5.699999999999997	0.5699999999999867	0	0.375
ca	06071		325000	28.0	XXXX	XXXX	XXXX	ca	33.0	2.0	no	no	24-hr flow-weighted composite		raw wastewater				none	4s method (https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n)	24.0	4.0	0.0		40.0	yes	bcov vaccine	raw sample	5.265080228	yes	sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-12-20	00:19	utc-07:00	21.4					1.100375	XXXX	XXXX	2021-12-21	log10 copies/l wastewater	5.49711639	1.737358501			no	3.60206	no	46.43906365	no	no	7.966082925	log10 copies/l wastewater							2021-12-27 19:02:14	ca_356	2189183.0	2021-12-10	2021-12-27	2022-01-03	2022-01-10	1258176	1140676	261873	0.577	0.523	0.12	0	39.8	1.5	0.132							0.17000000000000004		25.550000000000033	0.7449999999999984	58	20.25
wi	55035		73000		XXXX	XXXX	XXXX	wi	12.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	5.046		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-02-12	06:00	utc-06:00	7.38	7.69	1060.0		11.9	1.0	XXXX	XXXX	2021-02-25	copies/l wastewater	108256.0	32797.0			no	66000.0	no	8.906	no	no	11696791.73	copies/l wastewater							2021-03-03 15:31:59	wi_136	105260.0	2021-02-02	2021-02-19	2021-02-26	2021-03-05	9761	3186	0.0	0.093	0.03	0.0	10	11.5	0.77	0.041							0.020000000000009496			0.7199999999999734	0	0.125
oh	39173		21000		XXXX	XXXX	XXXX	oh	8.0		no		flow-weighted composite		raw wastewater		4.0	centrifugation	promega wastewater large volume tna capture kit	promega wastewater large volume tna capture kit	4.0	4.0	0.0		40.0	no	oc43	raw sample	6.0	no	sars-cov-2	n2	qpcr	crassphage			dna	3	2021-08-24		utc-05:00	3.73000001907349			342.0	19.7333329518636		XXXX	XXXX	2021-08-26	copies/l wastewater	105569.1171875	6757.889786779945			no	3000.0	no	-1.0	no	no	237307392.0	copies/l wastewater					9	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-08-30 20:32:06	oh_311	131113.0	2021-08-14	2021-08-31	2021-09-07	2021-09-14	69572	56570	0.0	0.532	0.432	0.0	62	30.0	1.26	0.12							0.06000000000000383		22.350000000000115	0.42499999999999033	1	0.25
oh	39083		18000	36.0	XXXX	XXXX	XXXX	oh	5.0	8.00000011920929	no		24-hr flow-weighted composite		raw wastewater		4.0	none	membrane filtration with sample acidification	qiagen qiaamp buffers with epoch columns		4.0			100.0	yes	bcov vaccine	raw sample	4.0	no	sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	1	2021-12-15	02:00	utc-05:00	2.79500007629395	7.46999979019165		156.0	15.0900001525879		XXXX	XXXX	2021-12-17	copies/l wastewater	295.675811767578	168.15070326211713			no	100.0	no	2.48217154841263	no	no	100155.1796875	copies/l wastewater					10	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-12-20 19:36:49	oh_263	62423.0	2021-12-05	2021-12-22	2021-12-29	2022-01-05	26831	25063		0.431	0.402		33	50.9	1.12	0.146							0.2100000000000033		25.100000000000044	0.8849999999999911	0	0.5
